sitename,sitetype,easting,northing,NO2annualmean2006,NO2annualmean2007,NO2annualmean2008,NO2annualmean2009,NO2annualmean2010,NO2annualmean2011,tem2006,tem2007,tem2008,tem2009,tem2010,tem2011,NO2modelled2006,NO2modelled2007,NO2modelled2008,NO2modelled2009,NO2modelled2010,NO2modelled2011,PM10annualmean2006,PM10annualmean2007,PM10annualmean2008,PM10annualmean2009,PM10annualmean2010,PM10annualmean2011,PM10modelled2006,PM10modelled2007,PM10modelled2008,PM10modelled2009,PM10modelled2010,PM10modelled2011,MISSINGALL,,Ozoneannualmean2006,Ozoneannualmean2007,Ozoneannualmean2008,Ozoneannualmean2009,Ozoneannualmean2010,PM25annualmean2006,PM25annualmean2007,PM25annualmean2008,PM25annualmean2009,PM25annualmean2010,SO2annualmean2006,SO2annualmean2007,SO2annualmean2008,SO2annualmean2009,SO2annualmean2010,COannualmean2006,COannualmean2007,COannualmean2008,COannualmean2009,COannualmean2010
Fife Rosyth,Roadside,311770.51,683501.59,NA,NA,26,29,33,28,9.521666667,9.411666667,8.904166667,9.046666667,7.835833333,9.281666667,16.69901,14.80638,14.72755,15.90601,18.8857,15.97605,NA,NA,15,16,19,20,13.08023,12.58698,11.40127,12.56277,14.24373,14.00155,138,,,,,,,,,,,,,,,,,,,,,
Edinburgh Glasgow Road,Roadside,313101,672651,NA,NA,NA,NA,NA,NA,9.5425,9.435,8.94,9.099166667,7.864166667,9.34,21.53979,18.94379,19.02574,19.96355,23.53623,18.70415,NA,NA,NA,NA,NA,NA,14.83202,13.9498,13.51395,14.05417,15.56528,15.57174,0,,,,,,,,,,,,,,,,,,,,,
Edinburgh Currie,Suburban,317595,667909,NA,NA,NA,NA,NA,NA,9.726666667,9.599166667,9.119166667,9.286666667,8.049166667,9.551666667,9.447853,11.17053,9.951732,11.73921,13.36775,9.360832,NA,NA,NA,NA,NA,NA,11.21786,11.60725,10.55175,10.91963,13.15819,12.11155,0,,,,,,,,,,,,,,,,,,,,,
Edinburgh Queensferry Road,Roadside,318734.92,674931.5,NA,NA,NA,NA,NA,41,9.680833333,9.549166667,9.07,9.236666667,8.0075,9.495,16.66733,15.89204,15.64665,16.17646,17.18033,15.68694,NA,NA,NA,NA,NA,NA,12.86816,12.77619,11.87366,12.01553,14.32518,13.94845,0,,,,,,,,,,,,,,,,,,,,,
Edinburgh St John's Road,Kerbside,320079.88,672902.79,NA,84,75,70,71,65,10.055,9.903333333,9.433333333,9.611666667,8.386666667,9.881666667,18.64182,18.38452,18.64132,19.31738,20.24117,18.08841,NA,NA,NA,NA,NA,NA,13.40808,13.72557,12.17476,12.57253,15.46515,13.92162,300,,,,,,,,,,,,,,,,,,,,,
Edinburgh Gorgie Road,Roadside,323121,672314,NA,41,42,38,41,37,10.055,9.903333333,9.433333333,9.611666667,8.386666667,9.881666667,22.18935,25.65949,26.06469,26.91115,29.81555,21.78297,NA,NA,NA,NA,NA,NA,14.45232,14.93484,13.82102,14.06894,16.62849,15.66082,162,,,,,,,,,,,,,,,,,,,,,
Peebles,Suburban,324814.65,641087.92,NA,NA,NA,NA,9,7,7.8225,7.650833333,7.185,7.315,6.0025,7.619166667,5.221618,5.375203,5.042062,5.410261,4.627914,4.412601,NA,NA,NA,NA,NA,NA,9.662863,9.629949,8.300592,8.019046,9.731573,9.322148,9,,NA,NA,NA,NA,51,,,,,,,,,,,,,,,
Bush Estate,Rural,324629.04,663890.62,10,9,8,7,9,6,9.223333333,9.079166667,8.6075,8.785,7.5375,9.049166667,8.128966,8.793608,8.090388,9.601353,10.4155,7.804637,NA,NA,NA,NA,NA,NA,10.67305,10.64933,9.099047,9.413512,11.49494,10.50937,43,,58,56,58,56,57,,,,,,,,,,,,,,,
Edinburgh Queen Street,Roadside,324825.48,674079.54,NA,34,32,33,37,29,10.055,9.903333333,9.433333333,9.611666667,8.386666667,9.881666667,23.74432,22.84157,23.20081,24.38461,24.16636,21.68051,NA,26,22,17,18,26,14.63621,14.53613,12.52398,12.85977,15.09584,14.5826,219,,,,,,,,,,,,,,,,,,,,,
Edinburgh St Leonards,Urban Background,326264.3,673136.49,27,27,31,24,31,25,10.22916667,10.065,9.6,9.785,8.571666667,10.05833333,21.37197,24.51066,23.64019,24.7481,26.9546,22.4948,20,19,15,NA,14,15,14.25704,14.92098,12.6256,12.96387,15.42296,14.70852,208,,52,48,49,52,33,NA,NA,NA,8,9,3,3,3,3,4,0.3,0.3,0.2,0.2,0.2
Edinburgh Salamander St,Roadside,327613.24,676342.55,NA,NA,NA,NA,30,29,10.22916667,10.065,9.6,9.785,8.571666667,10.05833333,16.9269,19.5207,20.34764,21.90517,22.02173,17.96849,NA,NA,NA,NA,26,15,12.82984,13.39681,13.00391,13.32225,15.12157,14.96898,56,,,,,,,,,,,,,,,,,,,,,
